"CF_PR","UP_CF1","UP_CF2","UP_CF3","UP_CF4","UP_CF5","DW_CF1","DW_CF2","DW_CF3","DW_CF4","DW_CF5","WT1","CTR_IF1","CTR_TH1","CTR_IF2","CTR_TH2","CTR_IF3","CTR_TH3","CTR_IF4","CTR_TH4","CRT_IF5","CTR_TH5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","GAF_Q1","Regret","Guilt","Shame","Comments","Gender","Age","Race","Ethnicity","Origin","Education","Marital","Live","Spirituality","Upward_Participants","Downward_Participants","Control_Participants","UP_Coun_Num","DOWN_Coun_Num","Participants","Count_Num","CF_1","CF_2","CF_3","CF_4","CF_5","CF_1_Tot","CF_2_Tot","CF_3_Tot","CF_4_Tot","CF_5_Tot","CF_Tot","CF_Tot_All","Postitive_Affect","Negative_Affect"
"Once I was very rude to one of my friends who I used to call my best friend. It causes a lot of bickering back and forth and caused us to not be friends anymore. It was extremely hard to adjust to because she was someone who I always hung out with every second of the day, and I had to get used to almost her disappearing from my life like we were never friends.","","","","","","","","","","","I wake up around 7 in the morning and will go get breakfast from the pit or chick-fil-a. Then I will normally do practice problems or work for any class that I have that first thing in the morning which is normally at 9 or 9:30 every other day. I will then either have math class, fys, or a break until my 2:00 class which is my last class of the day. This is my psychology class. Then I will go eat if I haven't and then go to the library until about 4:50 then I will head to the gym to work out and then use the massage chairs. Then I come back and shower eat again if I need to or go to the library until it closes or just until I get the things on my list done. Then I come back and either watches a movie or go straight to bed and repeat my day. This is my typical day of the week unless I have a test, then I will make sure to do practice problems during breakfast instead of maybe watching tv or reading my bible for the day.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,1,5,1,3,3,4,5,2,3,4,4,3,4,5,4,"I feel that I wish the situation didn't go that way and we were friends, but it was for the best because we have grown as people just in different ways.",4,3,5,"No, I thought it was very interesting because the questions were kinda all over the place. So I wonder the outcome","Female","19","African American",2,"United States",1,2,2,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,29
"I recently was betrayed by a friend after they blackmailed me into going to an event. They knew I didn't want to, but made me anyway. After it happened I discussed with friends how I should handle the situation and thankfully they gave me good advice. My friend apologized and we are now on slightly worse terms but still talk.","If my friend hadn't forced me to go then we would have avoided the negative experience","","","","","","","","","","I wake up, get dressed, shower, grab a quick snack, and brush my teeth. After I head to my classes for the day and grab lunch in between. Once classes are over I will head back to my room and finish up any work I have or studying I need to do. Then I usually hang out with friends depending on the day of the week. Finally, I head back to my room and usually play some video games before brushing my teeth and heading to bed after setting my alarm for the next morning.",8,9,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,3,2,4,2,3,3,3,4,2,2,5,3,3,3,2,4,"I am happy that we still are friends but I am still worried that they may do something similar in the future",2,3,2,"No","Male","18","White",2,"United States",1,2,2,3,1,0,0,1,0,"1",1,72,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,28,31
"I had a fight with a friend about something. I was angry at her for a few days and then eventually talked to her and we made up.","","","","","","if I didn't talk to my friend then I would still be angry at her","if my friend didn't want to talk, I would have been upset","","","","I normally wake up around 8 in the morning. Then I usually go to a workout class for an hour. I come back to my dorm and shower and get ready for class. My class schedule varies but after class I eat lunch and do some work for school. Then I watch a show or take a nap. Then I hang out with my friends and have dinner. Then I do more homework and go to bed around 11:30.",2,9,7,5,NA,NA,NA,NA,NA,NA,5,2,4,2,3,1,1,1,3,4,3,3,1,5,3,4,4,4,4,1,"I am glad that the situation is over and that we solved our problem",2,2,1,"no","female","19","white",2,"United States",1,2,2,4,0,1,0,0,2,"2",2,18,35,NA,NA,NA,9,17.5,NA,NA,NA,NA,NA,39,19
"my lab final was really hard and i don't think i did very well. once it was over i was a little upset, but i've just not been thinking about it until we get our grades back because there is no point and it's over","","","","","","","","","","","i usually wake up around 7 or 8, depending on the amount of homework i have to do. i shower first thing in the morning, which takes me around 45 minutes because i have long curly hair. then i spend about 30 minutes getting dressed, brushing my teeth, doing my makeup, etc. i have a 9:30 most days so i will do work until class starts. i end class around 3 every day, and i usually have a 45 minute to an hour lunch somewhere in between. at 3 i go back to my dorm and get new stuff for my homework. then when it's nice out i go sit outside and do work and talk with friends. i do work until around 7, at which point i go get dinner. once i get dinner, i go back and do work, usually in the library with friends. i do work for as long as i need to, usually finishing between 11 and 2 but averaging around 12:30. i then go and get ready for bed which includes brushing my teeth, getting changed, etc. i spend around half an hour snapping/talking to a guy i have a thing with before i go to bed and sleep around 1 or 1:30 usually.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,2,1,2,"pretty neutral still",2,1,1,"","woman","19","white",2,"USA",1,2,2,1,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14
"My mom got into a fight and don't talk as much anymore","if I hadn't been stubborn the fight wouldn't have occured","if she tried to think from my point of view then I would be more understanding","if she made a stonger point to show empathy I wouln't have as much resentment","if I had just accepted her point of view we wouldn;t have been bickering","If I didn't call her back then we wouldn't get into a fight","","","","","","Wake up, get dressed, get coffee and eat food, make a schedule for my entire day, check my email, do work before class, go to classes, do more work, go back home and clean up my room, and maybe hang out with friends, go to the gym, eat dinner with friends, maybe have more meetings or work, do homework till really late, get my room ready for the next day, play on my phone, and go to bed. I feel like the order of these events kind of changes based on which classes I have on a particular day- but I have a very set routine for each day and am pretty consistent about it 

",8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,"n/a",3,2,2,"n/a","female","19","white",2,"US",1,2,1,4,1,0,0,5,0,"1",5,64,64,64,64,64,12.8,12.8,12.8,12.8,12.8,320,64,20,19
"One time I lost my entire phone, credit card, ID, basically everything I own that is important
","","","","","","If I had been more careful and knew were my belongings were then I wouldn’t have lost it","If I wasn’t intoxicated then maybe I wouldn’t have left it at the bar I was at.","","","","When I wake up I wash my face and brush my teeth, then I get dressed for the day. Then I go to my first class which is Spanish every day. Then I go to my other classes and somewhere in between I get Starbucks. Then I go for a walk around the reynolda trail and call friends and family. I try to do my homework after classes in the afternoon. Then I go to the pit for dinner with friends. Some days after dinner I have acapella rehearsal, some days I have chapter for my sorority, other days I hang out with friends or my boyfriend. Occasionally on weekends I go out to frat parties.",9,3,4,4,NA,NA,NA,NA,NA,NA,3,3,2,1,3,1,1,3,3,2,1,4,1,2,3,2,3,1,2,1,"Fine but still disappointed in myself cause it cost me a lot of money to replace",6,5,3,"No","Female","18","White",2,"United States",1,2,1,3,0,1,0,0,2,"2",2,27,16,NA,NA,NA,13.5,8,NA,NA,NA,NA,NA,26,16
"I recently got into a big fight with one of my friends from home.
","","","","","","","","","","","I usually wake up at 8:30 and then sit in bed on my phone until about 9. Then I get up and brush my teeth and wash my face. Then I make my bed and get my bag ready for class. Sometimes I go get coffee and do some work if I can. Then I usually have class from about 10 to 3. After class I grab something to eat and go back to room and rest for about an hour. After I rest I try to do some more work until about 5. Some days I go to the gym and do light exercise, but either way I eat dinner and then shower around 7 or 8. Then I wash my face and get into bed and go on my computer or read until about 12 pm and then go to sleep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,4,4,2,1,2,2,2,4,1,3,3,4,4,4,3,2,"I think I dealt with it well and took action to avoid further negativity.",1,2,1,"no","Female","19","White",1,"United States",1,2,1,2,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,24
"One time I got a bad grade on a test. It was organic chemistry and I could not stop crying. The outcome of this situation was that I started paying for a tutor to help me pass the class.","If I had studied more, I would have gotten a better grade.","","","","","","","","","","I wake up, shower, and get ready. I do my hair and skincare. I get dressed and leave for class. I go to my classes. I eat lunch and then go to more class. I study after class. I eat dinner and then study some more. I get ready for bed and then go to sleep.",5,9,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,2,2,4,1,2,1,5,2,1,3,5,3,3,4,2,5,"I feel nervous that I will have the same outcome in similar situations.",6,7,6,"","female","18","eden",2,"USA",1,2,2,5,1,0,0,1,0,"1",1,45,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,26,33
"My mother couldn't stayed with her step mother before she passed away because she stayed with me for an extracurricular class, I deeply regret keeping her with me.","If I didn't have that class then she would have made it in time.","If I went to the class by myself then things would have been different.","","","","","","","","","Wake up
Go to first class 930 most of the time
Class finishes at 1045
Go back to dorm
Play games/do work",9,4,9,5,NA,NA,NA,NA,NA,NA,2,3,2,4,3,3,5,2,2,3,4,2,3,2,4,3,3,2,4,4,"Its passed already but I am very sad about the outcome.",7,7,6,"I am sort of confused, but it seem interesting.","Male","19","Asian",2,"China",1,2,2,2,1,0,0,2,0,"1",2,36,45,NA,NA,NA,18,22.5,NA,NA,NA,NA,NA,26,34
"Whenever I go through something negative, I let myself feel the original emotions but then I try to learn from the situation","","","","","","If I would have stayed in the relationship, then he would still be abusing me","","","","","I wake up either at 6:45 or 8:45 depending on the day, I clean my face and brush my teeth, do my hair and my makeup, get dressed and get coffee before class. I go to all my classes and use my breaks between classes to complete work. I get lunch with my friends and we do work together. Sometimes I go to the gym or go sit somewhere else to do work but most of my day is used to doing homework or studying. I stay with my friend Dejanay most of the day and I usually stay with her until I get tired and want to go to bed. Then I go shower, eat dinner and go to bed. I often get my food from Chick Fil A. And before bed, I either watch tv or scroll through TikTok until I force myself to go to sleep.",9,4,3,3,3,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,"I dont like talking about it but its a teaching lesson",2,1,3,"n/a","f","18","black",2,"usa",1,2,3,2,0,1,0,0,1,"2",1,36,9,9,9,9,36,9,9,9,9,45,9,10,16
"One time I got a really bad grade on a test that I thought was going to go well. After getting the bad grade I felt really bad about myself and was disappointed that I didn't do as well as I should have.","","","","","","","","","","","First I wake up and get on my phone and scroll through tiktok. After that I start getting up and get ready to start my day by getting dressed and maybe eating breakfast. After getting ready I then go to class, and after 1 or 2 of my classes are done I go somewhere to eat breakfast if I didn't eat it earlier and I get some work done. After that I finish my classes for the day and then I take a nap. After taking a nap I go eat lunch and then get some more work done. After I am done with work for the day I hang our with my friends or go to the gym. Once I am ready to go to sleep I then get ready for bed by taking a shower and putting on pajamas. I then watch netflix to wind down and go to sleep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,1,"I feel stupid that I felt that way because in the long run it really doesn't matter but at the time it felt like a big deal",3,5,3,"n/a","Female","19","African American",2,"United States",1,2,1,4,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11
"Recently, I was woefully unprepared for a musical performance. I had never felt so bare and uncomfortable during a concert before and it became difficult to play. Afterwards, I felt very poorly.","","","","","","","","","","","Typically I would wake up around 7:30 to shower and get ready for a class, often starting at 9. Most days of the week, I would be in class straight from then until to around 6. Afterward, I would usually get dinner, and maybe something extra to have later that night. I would probably spend an hour or two with friends at this point, before trying to start classwork. For myself, I think I've developed a Celsius dependency this semester, and can't seem to mentally focus without one. I would open this at some point between 11 to maybe 2, at which point I would actually start doing homework, and find myself asleep around 3 to 5. I could catch up on sleep on weekends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,1,1,1,1,3,2,1,2,1,2,1,2,2,1,2,1,"It was distressing, upsetting, guilt-causing, and shameful",5,3,4,"No","Male","18","Asian",2,"My parents are from the Philippines",1,2,2,2,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,12
"Once I was upset with my friend and said something hurtful. The outcome was hurtful, however it ended in a makeup.","If I did not yell, then it would not have been hurtful","If I wasn't upset, then I would not have yelled","","","","","","","","","I wake up, shower, wash my face, and get ready for class. I usually go to class, then go to lunch with friends afterwards. Often, I have class again, however if I do not, I will hangout in my lounge with my friends and do things like talk or play video games. After my second (or third) class I usually try to be active by doing something like play pickle ball, basketball, or simply workout. After this, I usually eat dinner with friends, and then spend time doing work and hanging out with friends during the night time. When it is time for bed, I usually shower, wash my face, and lay in bed. I put on Modern Family to fall asleep and set my alarm for the following day.",9,9,9,9,NA,NA,NA,NA,NA,NA,3,1,2,NA,1,1,1,1,NA,2,1,1,1,1,1,2,1,1,NA,1,"not great, but not too bad",4,3,4,"No","Male","20","White",1,"USA",2,2,2,4,1,0,0,2,0,"1",2,81,81,NA,NA,NA,40.5,40.5,NA,NA,NA,NA,NA,NA,NA
"I had an infection on the inside of my leg. They had to drain it in a painful procedure, it was not a pleasant experience","","","","","","If I went to student health erlier, it would have been a more pleasant experience","If the doctor used more numming agent, I would have had less pain.","","","","I wake up, usually around 10 am, take a shower, brush my teeth, and get dressed. I normally go to bagel station for a bacon egg and cheese on an everything bagel and chocolate milk for breakfast. Then I drive back home and play a video game or watch a youtube video. Eventually, I go to class by walking into campus. After classes, I come home and rest, maybe even take a nap. Then I go to",4,9,7,8,NA,NA,NA,NA,NA,NA,1,4,1,3,2,1,1,1,1,2,2,2,1,1,3,2,2,4,2,1,"",1,1,1,"","Male","22","White",2,"USA",4,2,1,4,0,1,0,0,2,"2",2,36,56,NA,NA,NA,18,28,NA,NA,NA,NA,NA,16,21
"Once I was really selfish to a friend and it helped me reflect on myself","","","","","","","","","","","Wake up, attend my classes throughout the day, eat around 11, stop and do some work for a bit, relax/take some time with friends, go on to do some more work. Then go to bed around 12.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,3,1,2,2,3,3,3,3,1,3,3,5,2,3,3,3,"I don’t really feel anything",4,3,3,"","Woman","19","Black",2,"Jamaica",1,2,1,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,23
"One time I fell off my bike because I wasn't paying attention and hurt my arm","If I was paying attention then I wouldn't have fallen","If I had fallen differently then I wouldn't have hurt my arm","If I hadn't been riding my bike then I wouldn't have gotten hurt","","","","","","","","Eat breakfast, go to class, eat lunch go to afternoon classes, take break, go to library, go to gym, eat dinner, go back to library, go to sleep",3,3,3,3,3,3,3,NA,NA,NA,3,4,3,3,3,1,3,3,3,3,3,2,1,5,3,4,4,3,5,3,"Not too bad",3,2,2,"no","male","20","white",2,"United states",2,2,2,4,1,0,0,3,0,"1",3,9,9,9,NA,NA,3,3,3,NA,NA,NA,NA,35,27
"When I was cheated on by my ex boyfriend. This experience was extremely hurtful and it happened a month prior to me finding out. i would have never found out and would have stayed with him had the girl not reached out.","","","","","","If he would have said that I had cheated to switch the story, instead he was honest with people and I respect that","If he would have never admitted to doing it, he was honest to be after trying to hide it for a bit but eventually came around to telling me","If I had not handled the situation with grace and maturity","If I had witness it happen","If it had been with my friend","Everyday I wake up at 9 am, I sit up in bed and check my phone to text my boyfriend good morning as well as check on if anyone had texted me. Then i take a sip of water and take my medication. I then get out of med turn the air conditioning down because im normally cold when Im up and then I go to the bathroom. Then I come back into the room brush my teeth, wash my face, apply my moisturizing products, and my eye cream and then I brush my heart put on and outfit and normally get a croissant and a coffee or tea or a stay in my room and make oatmeal and banana. The my boyfriend will usually call me and I talk with him for a bit to say good morning. Then I will look at my computer and do work if I have it or kind of sit around and wake up and enjoy my morning. Then i have class at 11 which I will walk to and sit in class then I have another class right after that and then another class directly after that one. Then I will normally get an afternoon snack because I haven’t eaten since the morning and I get hungry around this time. Then ill normally call my mom or dad and speak with them for a bit. Then I will ask some friends to hand later or grab dinner later before sitting down to do my homework. Then I will do my homework for a few hours. Then I call my boyfriend after he is out of baseball practice and get dinner and hang with some friends then I get ready for bed after relaxing",9,9,4,4,6,7,2,2,1,1,4,2,5,1,4,1,1,1,5,5,1,3,1,5,1,3,4,1,2,1,"I feel like it was for the best and I don hold grudges I and thankful for the lesson it taughtme and it has made me a more understanding and loving person",1,1,1,"","Female","19","White",2,"USA",1,2,2,5,0,1,0,0,5,"2",5,81,16,42,4,1,16.2,3.2,8.4,0.8,0.2,52,10.4,40,11
"Once I shouted to my friend and had a huge fight with her. Now we are not good friends anymore","","","","","","","","","","","I wake up at 9 am usually. My first class is CS begins at 9.30 am. The class will end at 10.45 am. I will usually go back to my dorm and try to take a nap. My next class is at 12 am. it ends at 12.50. After the class, I will go to eat the first meal of my day. I have another two classes in the afternoon. My classes end at 4.45. I will go to eat dinner with my friends and then go to play or go to the ZSR to study. I usually will go to subway at night since I will be hungry after I study for a long time.  I will go to practice piano twice a week.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,"Sad",5,4,4,"","Female","19","Asian",2,"China",1,2,1,2,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
"I had a negative experience after I did not find time to hang out with a friend. After this progressed it eventually ended our friendship and","If I had re thought this process I would of had more time to spend time with them.","I would of made plans and had a schedule to stick to the plan","","","","","","","","","On a typicall day I will wake up make my bed brush my teeth and shower. After this I will prepare myself for class. If I have a test I will study before if not I will just go to class. After my first class I will get breakfast at either the pit or get a bagel. Then I have my next class where I will complete work before the class. After the class I will get food and do work. After my last class I will relax and spend some time with friends. Then I will go to the gym and meet up with friends for dinner. Depdnding on the amount of work I have I will study or complete the rest of my work. If I do not have any work I will just hang out with friends or chill by my self.",3,8,8,7,7,8,6,NA,3,3,2,3,2,3,2,1,1,1,2,2,3,3,2,1,2,2,4,1,4,1,"Ashamed",3,5,3,"N/A","Male","18","White",2,"US",1,2,2,3,1,0,0,2,0,"1",2,24,56,56,NA,9,12,28,28,NA,4.5,NA,NA,24,18
"I recently got a concussion, and every day became difficult because each day, I've just been trying to survive. I'm getting a bit better, but I have to get an MRI and other testing done since I have a history of concussions, and I'm not recovering properly. Emotionally and mentally, I was very unwell because each day was so hard, but now I'm at peace with myself. I realized that there was nothing I could do except do my best in my situation, even though I used to be able to do much more. I do still have to remind myself to be kinder to myself since I am literally incapable of certain things now.","","","","","","If I didn't hold myself to certain standards then I wouldn't have been so hard on myself.","If I didn't push myself too hard after the injury then I would have saved myself a lot of physical and mental stress.","If I had accepted that it is what it is then I wouldn't have been angry with myself.","If I lied to my doctor then I wouldn't be able to get these tests done to discover what's wrong with me.","If I asked for help earlier then I would've had a support system throughout the injury.","I wake up and turn off my alarm, then immediately check the weather. I then make my bed putting my pillows in the same orientation every time.",9,4,1,5,9,9,9,8,8,5,3,3,2,1,4,1,2,1,3,4,1,1,1,4,3,5,3,2,1,1,"I'm feeling good and at peace",1,1,1,"","Femal","19","Mixed- Filipino, Black, White",2,"USA",2,2,2,5,0,1,0,0,5,"2",5,36,5,81,72,40,7.2,1,16.2,14.4,8,305,61,30,16
"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","",NA,"",NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
